Title,Year,Language,Genre,Release date (India),Runtime(mins),Banner,Director,Cast
Avengers: Infinity War,2018,English,"Adventure, Action",27-04-2018,149,Marvel Studios,"Joe Russo, Anthony Russo","Robert Downey Jr., Chris Evans"
Incredibles 2,2018,English,"Action, Adventure",22-06-2018,118,Pixar,Brad Bird,"Craig T. Nelson, Holly Hunter"
Spider-Man: Into the Spider-Verse,2018,English,"Animation, Action",14-12-2018,117,"Columbia Pictures, Lord Miller","Bob Persichetti, Peter Ramsey","Shameik Moore, Jake Johnson"
Venom,2018,English,"Sci-Fi, Action",05-10-2018,112,"Matt Tolmach Productions, Pascal Pictures",Ruben Fleischer,"Tom Hardy, Michelle Williams"
Ready Player One,2018,English,"Adventure, Action",30-03-2018,140,"Amblin Entertainment, Warner Bros. Pictures",Steven Spielberg,"Tye Sheridan, Olivia Cooke"
Black Panther,2018,English,"Action, Adventure",16-02-2018,135,Marvel Studios,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan"
Jurassic World: Fallen Kingdom,2018,English,"Action, Adventure",08-06-2018,129,"Amblin Entertainment, Universal Pictures",J.A. Bayona,"Chris Pratt, Bryce Dallas Howard"
Hereditary,2018,English,Thriller,21-06-2018,128,"PalmStar Media, Pulse Films",Ari Aster,"Toni Collette, Alex Wolff"
Halloween,2018,English,Thriller,18-10-2018,106,"Universal Pictures, Blumhouse Productions",David Gordon Green,"Jamie Lee Curtis, Judy Greer"
Mission: Impossible - Fallout,2018,English,"Action, Adventure",27-07-2018,147,"Paramount Pictures, Bad Robot",Christopher McQuarrie,"Tom Cruise, Henry Cavill"
Terrifier,2018,English,Thriller,25-01-2018,84,Dark Age Cinema,Damien Leone,"David Howard Thornton, Jenna Kanell"
Deadpool 2,2018,English,"Action, Adventure",18-05-2018,120,"Maximum Effort, Genre Films",David Leitch,"Ryan Reynolds, Josh Brolin"
The Grinch,2018,English,Animation,08-11-2018,85,"Illumination, Dr. Seuss Enterprises","Yarrow Cheney, Scott Mosier","Benedict Cumberbatch, Rashida Jones"
Maze Runner: The Death Cure,2018,English,"Sci-Fi, Action",09-02-2018,143,"The Gotham Group, Temple Hill Entertainment",Wes Ball,"Dylan O'Brien, Kaya Scodelario"
A Quiet Place,2018,English,Sci-Fi,06-05-2018,91,"Paramount Pictures, Platinum Dunes",John Krasinski,"Emily Blunt, John Krasinski"
The Predator,2018,English,"Sci-Fi, Action",05-09-2018,107,"Davis Entertainment, TSG Entertainment",Shane Black,"Boyd Holbrook, Trevante Rhodes"
The Meg,2018,English,"Action, Sci-Fi",10-08-2018,113,"Apelles Entertainment, Gravity Pictures",Jon Turteltaub,"Jason Statham, Li Bingbing"
